bench,mode,threads,trials,duration_ms,execute,elements,ops,bmname,tx_per_s,tx_per_s_mean,tx_per_s_sd,tx_per_s_min,tx_per_s_max,cv_pct,ns_per_tx,commits,aborts,writer_commits,abort_pct,aborts_per_commit,writer_pct,p50_ns,p99_ns,p999_ns,max_ns,sample_stride,timer_ns,sampling_ns_per_tx,sampling_pct,imbalance_pct,user_ns,sys_ns,sys_pct,vol_cs,invol_cs,invol_cs_per_ktx,minflt,majflt,maxrss_kb,verified
rn-w1-hot,ala,16,3,200,0,256,16,ReadNWrite1,2893127.8683,2889550.0020,10344.5997,2877891.4236,2897630.7140,0.3580,5530.3466,578794,379633,578794,39.6100,0.6559,100.0000,4337,25585,38897,59846,64,15,0.4688,0.0085,50.2507,3196977000,0,0.0000,1,3,0.0052,0,0,12532,ok
rn-w1-hot,ala,24,3,200,0,256,16,ReadNWrite1,2172343.7525,2172293.9354,383.4244,2171888.0374,2172650.0162,0.0177,11047.9752,434972,407378,434972,48.3621,0.9366,100.0000,6388,102388,221172,279547,64,12,0.3750,0.0034,88.6736,4792116000,4752000,0.0991,2,156,0.3586,0,0,12624,ok
rn-w1-cold,ala,1,3,200,0,65536,16,ReadNWrite1,23699130.3077,23684194.5804,33182.9868,23646168.5157,23707284.9177,0.1401,42.1956,4742901,0,4742901,0.0000,0.0000,100.0000,45,49,75,1418,64,9,0.2813,0.6665,0.0000,199648000,0,0.0000,1,0,0.0000,0,0,12624,ok
rn-w1-cold,ala,2,3,200,0,65536,16,ReadNWrite1,18348311.5917,18336422.4022,28789.3503,18303592.6429,18357362.9718,0.1570,109.0019,3672196,610,3672196,0.0166,0.0002,100.0000,107,175,207,1309,64,9,0.2813,0.2580,0.0137,399582000,0,0.0000,1,3,0.0008,0,0,12624,ok
rn-w1-cold,ala,4,3,200,0,65536,16,ReadNWrite1,9116066.2540,9116274.5589,1299.6365,9115091.6559,9117665.7669,0.0143,438.7858,1824417,926,1824417,0.0507,0.0005,100.0000,423,919,1207,2427,64,9,0.2813,0.0641,30.5078,799224000,0,0.0000,1,3,0.0016,0,0,12624,ok
rn-w1-cold,ala,8,3,200,0,65536,16,ReadNWrite1,5643950.3521,5679864.6156,92297.1453,5610923.0288,5784720.4660,1.6250,1417.4469,1129528,1525,1129528,0.1348,0.0014,100.0000,1335,5367,8695,10831,64,9,0.2813,0.0198,54.4803,1598557000,0,0.0000,1,0,0.0000,0,0,12624,ok
rn-w1-cold,ala,16,3,200,0,65536,16,ReadNWrite1,3008463.6356,3008043.6044,4995.5930,3002851.2571,3012815.9206,0.1661,5318.3292,601987,1947,601987,0.3224,0.0032,100.0000,4849,19441,29681,46941,64,15,0.4688,0.0088,47.4899,3196727000,0,0.0000,1,12,0.0199,0,0,12624,ok
rn-w1-cold,ala,24,3,200,0,65536,16,ReadNWrite1,2140081.4125,2140206.3680,2350.8774,2137920.4604,2142617.2312,0.1098,11214.5266,428472,2147,428472,0.4986,0.0050,100.0000,6902,126966,311286,635840,64,10,0.3125,0.0028,94.6784,4790949000,949000,0.0198,2,176,0.4108,0,0,13044,ok
rw-n-linear,ala,1,3,200,0,65536,8,ReadWriteN,24126360.2094,24142279.7299,53279.7220,24098774.4008,24201704.5794,0.2207,41.4484,4828487,0,4828487,0.0000,0.0000,100.0000,41,49,99,1712,64,9,0.2813,0.6786,0.0000,199747000,0,0.0000,1,3,0.0006,0,0,13044,ok
rw-n-linear,ala,2,3,200,0,65536,8,ReadWriteN,19492646.7359,19497120.9094,9265.9279,19490941.1234,19507774.8691,0.0475,102.6028,3901186,2503,3901186,0.0641,0.0006,100.0000,91,159,207,326,64,9,0.2813,0.2741,0.0996,399514000,0,0.0000,1,2,0.0005,0,0,13044,ok
rw-n-linear,ala,4,3,200,0,65536,8,ReadWriteN,10982555.8551,10979658.9174,11169.5866,10967326.2637,10989094.6333,0.1017,364.2139,2197980,4952,2197980,0.2248,0.0023,100.0000,391,855,1719,3018,64,9,0.2813,0.0772,23.9409,799177000,0,0.0000,1,2,0.0009,0,0,13044,ok
